epoch,train_loss,valid_loss,validation,div_metric,div_loss,triplet_loss,time
0,4.952576,4.708250,0.413000,778,0.586658,1.030398,07:17
1,4.334691,4.095118,0.664000,704,0.419761,0.918839,07:17
2,4.212791,4.126447,0.858000,691,0.441615,0.921208,07:17
