epoch,train_loss,valid_loss,validation,div_metric,div_loss,triplet_loss,time
0,5.367514,5.241489,0.529000,786,0.654604,1.146721,07:16
1,5.166912,5.041367,0.387000,704,0.609137,1.108058,07:17
2,5.068083,4.996189,0.414000,770,0.585274,1.102729,07:17
