epoch,train_loss,valid_loss,validation,div_metric,div_loss,triplet_loss,time
0,5.304259,5.004246,0.575000,785,0.622475,1.095443,07:16
1,4.955301,4.678338,0.592000,728,0.534476,1.035965,07:17
2,4.530823,4.340663,0.621000,716,0.448914,0.972937,07:16
