epoch,train_loss,valid_loss,validation,div_metric,div_loss,triplet_loss,time
0,5.726562,5.581467,0.361000,787,0.717044,1.216106,07:17
1,5.258303,5.244801,0.354000,782,0.659864,1.146234,07:16
2,5.018526,4.939330,0.435000,800,0.567047,1.093071,07:17
