epoch,train_loss,valid_loss,validation,div_metric,div_loss,triplet_loss,time
0,5.231529,5.107561,0.434000,769,0.619960,1.121900,07:17
1,5.184095,5.200548,0.473000,751,0.597764,1.150696,07:17
2,4.991793,4.735381,0.579000,717,0.550223,1.046290,07:17
