epoch,train_loss,valid_loss,validation,div_metric,div_loss,time
0,0.255258,0.267616,0.382000,775.000000,0.669040,04:12
1,0.225495,0.248796,0.452000,701.750000,0.621989,04:12
2,0.221047,0.229158,0.525000,740.000000,0.572895,04:13
