epoch,train_loss,valid_loss,validation,div_metric,div_loss,time
0,0.312925,0.314338,0.279000,772.750000,0.785845,04:14
1,0.293276,0.305271,0.425000,768.500000,0.763178,04:14
2,0.203966,0.219299,0.614000,656.500000,0.548247,04:13
