epoch,train_loss,valid_loss,validation,div_metric,fool_loss,time
0,9.636132,9.335514,0.818000,777.250000,9.335512,05:32
1,8.758578,8.935724,0.833000,275.250000,8.935724,05:27
2,8.633681,8.691080,0.830000,309.750000,8.691080,05:27
