epoch,train_loss,valid_loss,validation,div_metric,fool_loss,time
0,10.345933,10.382099,0.671000,789.750000,10.382099,05:32
1,9.727733,9.826189,0.700000,419.500000,9.826189,05:34
2,9.200321,9.292246,0.738000,438.500000,9.292247,05:37
