epoch,train_loss,valid_loss,validation,div_metric,fool_loss,time
0,9.074280,9.116385,0.861000,784.750000,9.116386,05:33
1,8.652463,8.671516,0.876000,217.750000,8.671515,05:26
2,8.515037,8.508225,0.876000,183.000000,8.508225,05:27
