epoch,train_loss,valid_loss,validation,div_metric,fool_loss,time
0,10.310033,10.478185,0.708000,776.750000,10.478186,05:25
1,9.597934,9.565648,0.750000,412.750000,9.565648,05:28
2,9.307926,9.293544,0.760000,531.000000,9.293544,05:34
