epoch,train_loss,valid_loss,validation,div_metric,fool_loss,time
0,9.482903,9.573158,0.806000,785.250000,9.573159,05:33
1,8.940814,9.035395,0.846000,296.500000,9.035396,05:27
2,8.651307,8.774044,0.855000,221.250000,8.774043,05:35
