epoch,train_loss,valid_loss,validation,div_metric,fool_loss,time
0,11.581629,11.355614,0.678000,782.750000,11.355614,05:30
1,9.809201,10.007499,0.743000,419.000000,10.007500,05:27
2,9.315125,9.478395,0.803000,370.000000,9.478395,05:32
