epoch,train_loss,valid_loss,validation,div_metric,fool_loss,time
0,9.256017,9.271457,0.802000,784.250000,9.271456,05:25
1,8.633365,8.688035,0.834000,309.500000,8.688036,05:25
2,8.174937,8.380590,0.845000,392.250000,8.380590,05:25
